freq_Hz,real,imag,amplitude_dB,phase_deg,screen_FDATA
6017500000.0,2.192655324935913,-0.48963868618011475,7.030749007848668,-372.5881071305329,7.0307488441467285
6018000000.0,2.0803823471069336,-0.9733980298042297,7.222631692109188,-385.07460290602313,7.222631931304932
6018500000.0,1.7940316200256348,-1.3450393676757812,7.013676586721479,-396.85999649415095,7.013676643371582
6019000000.0,1.4667648077011108,-1.721981167793274,7.0898300649210375,-409.5760044786605,7.089829921722412
6019500000.0,1.0617094039916992,-1.9902262687683105,7.065665173736275,-421.9217891597483,7.065665245056152
6020000000.0,0.6912205815315247,-2.176377773284912,7.1720485153960105,-432.3800801982379,7.172048568725586
6020500000.0,0.1827317327260971,-2.3043723106384277,7.278276531596085,-445.4660562772155,7.278276443481445
6021000000.0,-0.29391980171203613,-2.261303424835205,7.159934908018734,-457.4056751865955,7.159934997558594
6021500000.0,-0.795806884765625,-2.1833972930908203,7.324365708904449,-470.02583845252923,7.324365615844727
6022000000.0,-1.2066766023635864,-1.9366987943649292,7.165767883878216,-481.9253198404284,7.165767669677734
6022500000.0,-1.6172146797180176,-1.6653125286102295,7.314799070537733,-494.16052286216325,7.3147993087768555
6023000000.0,-1.9673012495040894,-1.2559313774108887,7.362082271723457,-507.4457095952899,7.362082481384277
6023500000.0,-2.1888556480407715,-0.8459579944610596,7.40894096747723,-518.8692734975177,7.408941268920898
6024000000.0,-2.305264711380005,-0.3671525716781616,7.3632050608032955,-530.9506778147771,7.3632049560546875
6024500000.0,-2.334868907928467,0.15824247896671295,7.3851526455923855,-543.8772123316712,7.385152339935303
6025000000.0,-2.2342336177825928,0.640885055065155,7.3259746955021505,-556.0054232904687,7.325974941253662
6025500000.0,-2.0100367069244385,1.0552841424942017,7.12133643896986,-567.6998051192356,7.121336460113525
6026000000.0,-1.8017783164978027,1.5286198854446411,7.468741508515429,-580.3111100670591,7.4687418937683105
6026500000.0,-1.4463855028152466,1.8506866693496704,7.417086651617298,-591.9909539170068,7.417086601257324
6027000000.0,-1.040879487991333,2.1170082092285156,7.454771762954579,-603.8178193611004,7.454771518707275
6027500000.0,-0.5510286688804626,2.2841873168945312,7.420290973768251,-616.4373140357807,7.420291423797607
6028000000.0,-0.030305087566375732,2.3766467571258545,7.519998814871101,-629.269449903317,7.519999027252197
6028500000.0,0.4170790910720825,2.2922513484954834,7.346695387291973,-640.3122530073125,7.346695423126221
6029000000.0,0.9843185544013977,2.1601879596710205,7.509166586017427,-654.4970171102103,7.509166240692139
6029500000.0,1.3832744359970093,1.917878270149231,7.47544268818877,-665.8011202169789,7.475442886352539
6030000000.0,1.7736072540283203,1.5481915473937988,7.4371195142630775,-678.8821130548854,7.437119007110596
6030500000.0,2.1133244037628174,1.1760920286178589,7.671063087932505,-690.9035033489038,7.671063423156738
6031000000.0,2.304875373840332,0.6985771059989929,7.634624708304187,-703.1386409395972,7.634624481201172
6031500000.0,2.363663673400879,0.16944779455661774,7.493975973396601,-715.8995592567343,7.493975639343262
6032000000.0,2.3633599281311035,-0.31187963485717773,7.545577143046268,-727.5175717121484,7.545577526092529
6032500000.0,2.273861885070801,-0.8445432782173157,7.696506108100534,-740.3756825027045,7.696506023406982
6033000000.0,2.0207784175872803,-1.3037396669387817,7.621744095179234,-752.828775138509,7.621744632720947
6033500000.0,1.7572979927062988,-1.6706295013427734,7.693107857293782,-763.5516960034773,7.693108081817627
6034000000.0,1.3344831466674805,-1.9869627952575684,7.580686958061592,-776.1139169634451,7.580687522888184
6034500000.0,0.8912097811698914,-2.242722511291504,7.652257760946348,-788.3281893431284,7.652257919311523
6035000000.0,0.3569582402706146,-2.355968713760376,7.541959821521362,-801.3845114882664,7.541959762573242
6035500000.0,-0.17498350143432617,-2.4221410751342773,7.706595996552056,-814.1320585056673,7.706596374511719
6036000000.0,-0.6196516752243042,-2.2904982566833496,7.505354284540316,-825.1379489522412,7.505354404449463
6036500000.0,-1.1152554750442505,-2.1021692752838135,7.530396929678915,-837.9471134201482,7.530396461486816
6037000000.0,-1.513636827468872,-1.826602578163147,7.503211700323435,-849.6472644447582,7.503211498260498
6037500000.0,-1.9261091947555542,-1.4568198919296265,7.658339594819817,-862.8978248604502,7.658339023590088
6038000000.0,-2.157672882080078,-1.0173717737197876,7.5515787576087865,-874.7554922070302,7.551578521728516
6038500000.0,-2.3596351146698,-0.5552270412445068,7.69093238691284,-886.7590480221222,7.690932750701904
